1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,norm_air_quality
639,3,23,1525,2,1.15,1.99,3,1223,806,2,2,3,3,1,1,4,3,3,2,3,3,0,0,1,3,1,4,4.08,Africa,South Africa,cape-town-south-africa,0.059945504
1709,2,8,3538,2,2,4.28,1,3054,2021,4,2,4,4,3,3,11,3,3,3,3,3,0,1,4,3,4,4,4.2,Oceania,United States,honolulu-hawaii-united-states,0.019073569
1573,2,22,2440,3,2.78,3.58,1,2875,1930,3,3,2,2,3,4,46,2,2,4,3,3,1,1,4,3,4,4,4.33,Europe,Luxembourg,luxembourg-luxembourg,0.057220708
943,2,15,3050,2,2.44,3.08,1,2454,1304,2,3,3,2,3,3,58,2,3,4,3,2,0,1,3,3,4,1,4.125098842,Europe,Belgium,bruges-belgium,0.038147139
1620,4,12,2745,2,1.5,3.06,1,2406,1613,4,3,3,2,4,3,33,4,2,4,3,4,0,1,3,4,4,4,4.46,North America,Canada,vancouver-canada,0.029972752
1640,2,12,3447,2,1.73,3.6,1,2957,1921,3,2,3,3,3,3,33,3,3,3,3,3,0,1,3,4,4,4,4.5,North America,United States,seattle-wa-united-states,0.029972752
2289,3,28,3111,2,3.33,3.06,1,2591,1479,3,2,2,3,3,4,20,3,4,3,3,2,0,1,3,3,4,4,4.2,Europe,France,paris-france,0.073569482
858,2,24,2044,1,2.77,3.5,1,2092,1276,3,4,3,3,4,4,48,3,3,4,3,3,0,1,3,3,4,4,4.29,Europe,Netherlands,rotterdam-netherlands,0.0626703
323,3,26,1129,1,1.1,1.96,3,992,555,3,2,3,4,3,2,8,4,4,3,3,3,0,0,2,3,4,4,4.38,Latin America,Argentina,buenos-aires-argentina,0.068119891
642,2,25,7076,1,2.49,3.28,1,3004,1015,4,3,3,2,3,4,35,2,1,4,3,2,0,1,4,3,4,4,4.02,Europe,Austria,salzburg-austria,0.065395095
1260,2,22,2715,2,2,3.98,1,2678,1825,3,2,2,2,3,3,18,2,2,3,3,3,0,1,2,4,4,4,3.95,North America,United States,chicago-il-united-states,0.057220708
